icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
81.06,8106,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
81.06,8106,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
81.07,8107,Orthopedics,Ortho,TL spine,1-2 open fusion,T/S,Type and Screen,1
81.07,8107,Orthopedics,Ortho,Metastasis spine,1-2 open fusion,T/S,Type and Screen,1
81.07,8107,Orthopedics,Ortho,TL spine,3 level ขึ้นไป,G/M,Group and Match (crossmatch),1
81.07,8107,Orthopedics,Ortho,Metastasis spine,3 level ขึ้นไป,G/M,Group and Match (crossmatch),1
81.07,8107,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
81.07,8107,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
81.08,8108,Orthopedics,Ortho,TL spine,1-2 open fusion,T/S,Type and Screen,1
81.08,8108,Orthopedics,Ortho,Metastasis spine,1-2 open fusion,T/S,Type and Screen,1
81.08,8108,Orthopedics,Ortho,TL spine,3 level ขึ้นไป,G/M,Group and Match (crossmatch),1
81.08,8108,Orthopedics,Ortho,Metastasis spine,3 level ขึ้นไป,G/M,Group and Match (crossmatch),1
81.08,8108,General Surgery,Sx,ศัลยกรรมระบบประสาท,Minimally invasive (MIS) spine surgery 1-2 level,G/M,Group and Match (crossmatch),1
81.08,8108,General Surgery,Sx,ศัลยกรรมระบบประสาท,Open spine surgery 1-2 level,G/M,Group and Match (crossmatch),2
81.11,8111,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.11,8111,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.12,8112,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.12,8112,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.13,8113,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.13,8113,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.14,8114,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.14,8114,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.15,8115,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.15,8115,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.16,8116,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.16,8116,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.17,8117,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.17,8117,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.18,8118,Orthopedics,Ortho,Foot,Fusion with iliac bone grafting,T/S,Type and Screen,1
81.18,8118,Orthopedics,Ortho,Foot,Pantalar fusion,T/S,Type and Screen,1
81.51,8151,Orthopedics,Ortho,Arthroplasty,THA,G/M,Group and Match (crossmatch),1
