icd9_code,icd9_code_nodot,specialty,sheet,procedure_group,operation,msbos,msbos_meaning,recommended_units
20.49,2049,ENT (Otolaryngology),ENT,Oto,Mastoidectomy,none,No blood preparation,
20.51,2051,ENT (Otolaryngology),ENT,Oto,ME tumor surgery,none,No blood preparation,
20.96,2096,ENT (Otolaryngology),ENT,Oto,Cochlear implant,none,No blood preparation,
20.97,2097,ENT (Otolaryngology),ENT,Oto,Cochlear implant,none,No blood preparation,
20.98,2098,ENT (Otolaryngology),ENT,Oto,Cochlear implant,none,No blood preparation,
21.04,2104,ENT (Otolaryngology),ENT,Rhino,SPA ligation,T/S,Type and Screen,1
21.05,2105,ENT (Otolaryngology),ENT,Rhino,SPA ligation,T/S,Type and Screen,1
21.84,2184,ENT (Otolaryngology),ENT,Facial plastic,Opened rhinoplasty,none,No blood preparation,
21.85,2185,ENT (Otolaryngology),ENT,Facial plastic,Opened rhinoplasty,none,No blood preparation,
21.86,2186,ENT (Otolaryngology),ENT,Facial plastic,Closed rhinoplasty,none,No blood preparation,
21.88,2188,ENT (Otolaryngology),ENT,Rhino,Septoplasty,none,No blood preparation,
21.88,2188,ENT (Otolaryngology),ENT,Sleep,Septoplasty,none,No blood preparation,
22.31,2231,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
22.31,2231,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
22.41,2241,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
22.41,2241,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
22.42,2242,ENT (Otolaryngology),ENT,Rhino,PNS tumor surgery,T/S,Type and Screen,1
22.52,2252,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
22.52,2252,ENT (Otolaryngology),ENT,Rhino,Limited FESS,none,No blood preparation,
22.60,2260,ENT (Otolaryngology),ENT,Rhino,PNS tumor surgery,T/S,Type and Screen,1
22.61,2261,ENT (Otolaryngology),ENT,Head-Neck,Maxillectomy,T/S,Type and Screen,2
22.61,2261,ENT (Otolaryngology),ENT,Rhino,PNS tumor surgery,T/S,Type and Screen,1
22.62,2262,ENT (Otolaryngology),ENT,Rhino,Fullhouse FESS,none,No blood preparation,
