oprtact,icd9,icd9_nodot,score,human_index,human_agreed,human_icd9,name
IS048,7075,7075,1.000,1,false,6942,Repair of other fistula of vagina
IS049,4610,4610,0.982,1,false,4620,"Colostomy, not otherwise specified"
IS050,4613,4613,0.988,0,true,,Permanent colostomy
IS051,5142,5142,1.000,1,false,5141,Common duct exploration for relief of other obstruction
IS052,5141,5141,1.000,1,false,5151,Common duct exploration for removal of calculus
IS053,64,64,1.000,1,false,652,Complete thyroidectomy
IS054,4442,4442,0.935,1,false,4441,Suture of duodenal ulcer site
IS055,4441,4441,1.000,1,false,4449,Suture of gastric ulcer site
IS056,4442,4442,0.996,1,false,4440,Suture of duodenal ulcer site
IS057,3941,3941,0.983,1,false,3998,Control of hemorrhage following vascular surgery
IS058,4660,4660,0.912,1,false,4680,"Fixation of intestine, not otherwise specified"
IS059,8685,8685,1.000,0,true,,Correction of syndactyly
IS060,9984,9984,1.000,0,true,,Isolation
IS061,3894,3894,1.000,1,false,3893,Venous cutdown
IS062,5661,5661,1.000,1,false,5651,Formation of other cutaneous ureterostomy
IS063,576,576,1.000,0,true,,Partial cystectomy
IS064,5717,5717,0.931,0,true,,Percutaneous cystostomy
IS065,5781,5781,0.949,1,false,5789,Suture of laceration of bladder
IS066,598,598,1.000,1,false,5502,Ureteral catheterization
IS067,5718,5718,1.000,1,false,5717,Other suprapubic cystostomy
IS068,5717,5717,0.897,0,true,,Percutaneous cystostomy
IS069,5823,5823,1.000,0,true,,Biopsy of urethra
IS070,5633,5633,1.000,1,false,5733,Closed endoscopic biopsy of ureter
IS071,561,561,0.893,0,true,,Ureteral meatotomy
IS072,561,561,0.988,0,true,,Ureteral meatotomy
IS073,5831,5831,1.000,1,false,6096,Endoscopic excision or destruction of lesion or tissue of urethra
IS074,580,580,1.000,1,false,585,Urethrotomy
IS075,9819,9819,1.000,1,false,6997,Removal of intraluminal foreign body from urethra without incision
IS076,5733,5733,0.983,1,false,5749,Closed [transurethral] biopsy of bladder
IS077,5749,5749,0.957,1,false,5733,Other transurethral excision or destruction of lesion or tissue of bladder
IS078,5791,5791,1.000,0,true,,Sphincterotomy of bladder
IS079,598,598,0.948,1,false,5631,Ureteral catheterization
IS080,8628,8628,0.985,1,false,8622,"Nonexcisional debridement of wound, infection or burn"
IS081,8628,8628,1.000,1,false,8622,"Nonexcisional debridement of wound, infection or burn"
IS082,8622,8622,0.993,1,false,8691,"Excisional debridement of wound, infection, or burn"
IS083,8622,8622,1.000,1,false,8628,"Excisional debridement of wound, infection, or burn"
IS084,8622,8622,1.000,1,false,7967,"Excisional debridement of wound, infection, or burn"
IS085,4503,4503,0.902,1,false,4692,Incision of large intestine
IS086,5462,5462,1.000,1,false,5461,Delayed closure of granulating abdominal wound
IS087,4614,4614,0.978,1,false,4631,Delayed opening of colostomy
IS088,8625,8625,1.000,1,false,8682,Dermabrasion
IS089,9984,9984,1.000,0,true,,Isolation
IS090,5421,5421,1.000,1,false,1742,Laparoscopy
IS091,5498,5498,1.000,0,true,,Peritoneal dialysis
IS092,586,586,0.918,0,true,,Dilation of urethra
IS093,9623,9623,1.000,1,false,4971,Dilation of anal sphincter
IS094,4292,4292,1.000,0,true,,Dilation of esophagus
IS095,9357,9357,1.000,1,false,9356,Application of other wound dressing
IS096,5831,5831,1.000,1,false,4943,Endoscopic excision or destruction of lesion or tissue of urethra
IS097,3833,3833,0.929,1,false,3818,"Resection of vessel with anastomosis, upper limb vessels"
IS098,3818,3818,1.000,1,false,3888,"Endarterectomy, lower limb arteries"
