sheet,procedure_group,operation,icd9_code,icd9_name,msbos,recommended_units,source,confirmed_on,note
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),17.36,Laparoscopic sigmoidectomy,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.49,Other pull-through resection of rectum,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.51,Laparoscopic abdominoperineal resection of the rectum,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.52,Open abdominoperineal resection ofthe rectum,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.62,Anterior resection of rectum with synchronous colostomy,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.63,Other anterior resection of rectum,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.69,"Other resection of rectum, other",T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมลำไส้ใหญ่และทวารหนัก,Colectomy/ anterior resection (AR)/ low anterior resection (LAR)/abdominoperineal resection (APR),48.71,Suture of laceration of rectum,T/S,,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery,37.32,Excision of aneurysm of heart,G/M,4,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
Sx,ศัลยกรรมหัวใจและทรวงอก,Open heart surgery (redo),35.06,Transapical replacement of aortic valve,G/M,6,Mapped_MSBOS_All_Departments_2.xlsx,2026-09-18,(จากแผนก Sx)
